tool	rank	metric	sample	value
MiCoP	phylum	Jaccard index	simulated_fungi	0.0
MiCoP	phylum	Taxon counts	simulated_fungi	2.0
MiCoP	phylum	Purity	simulated_fungi	0.0
MiCoP	phylum	Completeness	simulated_fungi	0.0
MiCoP	phylum	True positives	simulated_fungi	0.0
MiCoP	class	F1 score	simulated_fungi	0.07407407407407408
MiCoP	class	False negatives	simulated_fungi	13.0
MiCoP	class	False positives	simulated_fungi	12.0
MiCoP	class	Jaccard index	simulated_fungi	0.038461538461538464
MiCoP	class	Taxon counts	simulated_fungi	13.0
MiCoP	class	Purity	simulated_fungi	0.07692307692307693
MiCoP	class	Completeness	simulated_fungi	0.07142857142857142
MiCoP	class	True positives	simulated_fungi	1.0
MiCoP	order	F1 score	simulated_fungi	0.24000000000000002
MiCoP	order	False negatives	simulated_fungi	20.0
MiCoP	order	False positives	simulated_fungi	18.0
MiCoP	order	Jaccard index	simulated_fungi	0.13636363636363635
MiCoP	order	Taxon counts	simulated_fungi	24.0
MiCoP	order	Purity	simulated_fungi	0.25
MiCoP	order	Completeness	simulated_fungi	0.23076923076923078
MiCoP	order	True positives	simulated_fungi	6.0
MiCoP	family	F1 score	simulated_fungi	0.1842105263157895
MiCoP	family	False negatives	simulated_fungi	34.0
MiCoP	family	False positives	simulated_fungi	28.0
MiCoP	family	Jaccard index	simulated_fungi	0.10144927536231885
MiCoP	family	Taxon counts	simulated_fungi	35.0
MiCoP	family	Purity	simulated_fungi	0.2
MiCoP	family	Completeness	simulated_fungi	0.17073170731707318
MiCoP	family	True positives	simulated_fungi	7.0
MiCoP	genus	F1 score	simulated_fungi	0.3333333333333333
MiCoP	genus	False negatives	simulated_fungi	39.0
MiCoP	genus	False positives	simulated_fungi	37.0
MiCoP	genus	Jaccard index	simulated_fungi	0.2
MiCoP	genus	Taxon counts	simulated_fungi	56.0
MiCoP	genus	Purity	simulated_fungi	0.3392857142857143
MiCoP	genus	Completeness	simulated_fungi	0.3275862068965517
MiCoP	genus	True positives	simulated_fungi	19.0
MiCoP	species	F1 score	simulated_fungi	0.6099290780141843
MiCoP	species	False negatives	simulated_fungi	30.0
MiCoP	species	False positives	simulated_fungi	25.0
MiCoP	species	Jaccard index	simulated_fungi	0.4387755102040816
MiCoP	species	Taxon counts	simulated_fungi	68.0
MiCoP	species	Purity	simulated_fungi	0.6323529411764706
MiCoP	species	Completeness	simulated_fungi	0.589041095890411
MiCoP	species	True positives	simulated_fungi	43.0
MiCoP	strain	F1 score	simulated_fungi	0.7633587786259542
MiCoP	strain	False negatives	simulated_fungi	23.0
MiCoP	strain	False positives	simulated_fungi	8.0
MiCoP	strain	Jaccard index	simulated_fungi	0.6172839506172839
MiCoP	strain	Taxon counts	simulated_fungi	58.0
MiCoP	strain	Purity	simulated_fungi	0.8620689655172413
MiCoP	strain	Completeness	simulated_fungi	0.684931506849315
MiCoP	strain	True positives	simulated_fungi	50.0
MiCoP	superkingdom	L1 norm error	simulated_fungi	2.0000000000000004
MiCoP	phylum	L1 norm error	simulated_fungi	2.0000000000000004
MiCoP	class	L1 norm error	simulated_fungi	1.2161100000000002
MiCoP	order	L1 norm error	simulated_fungi	1.505298394884636
MiCoP	family	L1 norm error	simulated_fungi	1.8212598757839922
MiCoP	genus	L1 norm error	simulated_fungi	1.029995798513811
MiCoP	species	L1 norm error	simulated_fungi	0.561246986120402
MiCoP	strain	L1 norm error	simulated_fungi	0.3951089117341297
MiCoP	na	Weighted UniFrac error	simulated_fungi	2.221377090199027
MiCoP	na	Unweighted UniFrac error	simulated_fungi	159.72936469203023
Metalign	superkingdom	Bray-Curtis distance	simulated_fungi	0.25487643144915917
Metalign	phylum	Bray-Curtis distance	simulated_fungi	0.2554352245824908
Metalign	class	Bray-Curtis distance	simulated_fungi	0.2567856100366515
Metalign	order	Bray-Curtis distance	simulated_fungi	0.26802872312149767
Metalign	family	Bray-Curtis distance	simulated_fungi	0.2754062450852703
Metalign	genus	Bray-Curtis distance	simulated_fungi	0.286360951012172
Metalign	species	Bray-Curtis distance	simulated_fungi	0.31538575976448885
Metalign	strain	Bray-Curtis distance	simulated_fungi	0.9986083066524132
Metalign	superkingdom	Shannon diversity	simulated_fungi	0.3107624038996948
Metalign	superkingdom	Shannon equitability	simulated_fungi	0.22416768950041138
Metalign	phylum	Shannon diversity	simulated_fungi	0.3646049760715928
Metalign	phylum	Shannon equitability	simulated_fungi	0.12170813102702373
Metalign	class	Shannon diversity	simulated_fungi	0.8805357863858595
Metalign	class	Shannon equitability	simulated_fungi	0.21685707300873178
Metalign	order	Shannon diversity	simulated_fungi	0.954524457561949
Metalign	order	Shannon equitability	simulated_fungi	0.1928815458227874
Metalign	family	Shannon diversity	simulated_fungi	1.1136042801253327
Metalign	family	Shannon equitability	simulated_fungi	0.19931174504844426
Metalign	genus	Shannon diversity	simulated_fungi	1.2569020453566193
Metalign	genus	Shannon equitability	simulated_fungi	0.19948337974308117
Metalign	species	Shannon diversity	simulated_fungi	1.3986610215701694
Metalign	species	Shannon equitability	simulated_fungi	0.193110595722746
Metalign	strain	Shannon diversity	simulated_fungi	1.3986610215701694
Metalign	strain	Shannon equitability	simulated_fungi	0.193110595722746
Metalign	superkingdom	F1 score	simulated_fungi	0.4
Metalign	superkingdom	False negatives	simulated_fungi	0.0
Metalign	superkingdom	False positives	simulated_fungi	3.0
Metalign	superkingdom	Jaccard index	simulated_fungi	0.25
Metalign	superkingdom	Taxon counts	simulated_fungi	4.0
Metalign	superkingdom	Purity	simulated_fungi	0.25
Metalign	superkingdom	Completeness	simulated_fungi	1.0
Metalign	superkingdom	True positives	simulated_fungi	1.0
Metalign	phylum	F1 score	simulated_fungi	0.18181818181818182
Metalign	phylum	False negatives	simulated_fungi	0.0
Metalign	phylum	False positives	simulated_fungi	18.0
Metalign	phylum	Jaccard index	simulated_fungi	0.1
Metalign	phylum	Taxon counts	simulated_fungi	20.0
Metalign	phylum	Purity	simulated_fungi	0.1
Metalign	phylum	Completeness	simulated_fungi	1.0
Metalign	phylum	True positives	simulated_fungi	2.0
Metalign	class	F1 score	simulated_fungi	0.3888888888888889
Metalign	class	False negatives	simulated_fungi	0.0
Metalign	class	False positives	simulated_fungi	44.0
Metalign	class	Jaccard index	simulated_fungi	0.2413793103448276
Metalign	class	Taxon counts	simulated_fungi	58.0
Metalign	class	Purity	simulated_fungi	0.2413793103448276
Metalign	class	Completeness	simulated_fungi	1.0
Metalign	class	True positives	simulated_fungi	14.0
Metalign	order	F1 score	simulated_fungi	0.2994011976047904
Metalign	order	False negatives	simulated_fungi	1.0
Metalign	order	False positives	simulated_fungi	116.0
Metalign	order	Jaccard index	simulated_fungi	0.176056338028169
Metalign	order	Taxon counts	simulated_fungi	141.0
Metalign	order	Purity	simulated_fungi	0.1773049645390071
Metalign	order	Completeness	simulated_fungi	0.9615384615384616
Metalign	order	True positives	simulated_fungi	25.0
Metalign	family	F1 score	simulated_fungi	0.25974025974025977
Metalign	family	False negatives	simulated_fungi	1.0
Metalign	family	False positives	simulated_fungi	227.0
Metalign	family	Jaccard index	simulated_fungi	0.14925373134328357
Metalign	family	Taxon counts	simulated_fungi	267.0
Metalign	family	Purity	simulated_fungi	0.149812734082397
Metalign	family	Completeness	simulated_fungi	0.975609756097561
Metalign	family	True positives	simulated_fungi	40.0
Metalign	genus	F1 score	simulated_fungi	0.18573797678275292
Metalign	genus	False negatives	simulated_fungi	2.0
Metalign	genus	False positives	simulated_fungi	489.0
Metalign	genus	Jaccard index	simulated_fungi	0.10237659963436929
Metalign	genus	Taxon counts	simulated_fungi	545.0
Metalign	genus	Purity	simulated_fungi	0.10275229357798166
Metalign	genus	Completeness	simulated_fungi	0.9655172413793104
Metalign	genus	True positives	simulated_fungi	56.0
Metalign	species	F1 score	simulated_fungi	0.09245411284840245
Metalign	species	False negatives	simulated_fungi	5.0
Metalign	species	False positives	simulated_fungi	1330.0
Metalign	species	Jaccard index	simulated_fungi	0.048467569493941556
Metalign	species	Taxon counts	simulated_fungi	1398.0
Metalign	species	Purity	simulated_fungi	0.04864091559370529
Metalign	species	Completeness	simulated_fungi	0.9315068493150684
Metalign	species	True positives	simulated_fungi	68.0
Metalign	strain	F1 score	simulated_fungi	0.00407885791978246
Metalign	strain	False negatives	simulated_fungi	70.0
Metalign	strain	False positives	simulated_fungi	1395.0
Metalign	strain	Jaccard index	simulated_fungi	0.0020435967302452314
Metalign	strain	Taxon counts	simulated_fungi	1398.0
Metalign	strain	Purity	simulated_fungi	0.002145922746781116
Metalign	strain	Completeness	simulated_fungi	0.0410958904109589
Metalign	strain	True positives	simulated_fungi	3.0
Metalign	superkingdom	L1 norm error	simulated_fungi	0.4062766
Metalign	phylum	L1 norm error	simulated_fungi	0.4070722
Metalign	class	L1 norm error	simulated_fungi	0.409242
Metalign	order	L1 norm error	simulated_fungi	0.42706370000000005
Metalign	family	L1 norm error	simulated_fungi	0.43866390000000005
Metalign	genus	L1 norm error	simulated_fungi	0.456314399999999
Metalign	species	L1 norm error	simulated_fungi	0.502643499999999
Metalign	strain	L1 norm error	simulated_fungi	1.5915238999999994
Metalign	na	Weighted UniFrac error	simulated_fungi	4.401185842817783
Metalign	na	Unweighted UniFrac error	simulated_fungi	12447.999985358792
MetaBinG2	superkingdom	Bray-Curtis distance	simulated_fungi	0.18405389999999996
MetaBinG2	phylum	Bray-Curtis distance	simulated_fungi	0.44833799999999996
MetaBinG2	class	Bray-Curtis distance	simulated_fungi	0.5537571776878589
MetaBinG2	order	Bray-Curtis distance	simulated_fungi	0.7577587301292062
MetaBinG2	family	Bray-Curtis distance	simulated_fungi	0.9032607
MetaBinG2	genus	Bray-Curtis distance	simulated_fungi	0.9824221184567756
MetaBinG2	species	Bray-Curtis distance	simulated_fungi	0.9939810033104481
MetaBinG2	superkingdom	Shannon diversity	simulated_fungi	0.47748525915375584
MetaBinG2	superkingdom	Shannon equitability	simulated_fungi	0.6888656154787051
MetaBinG2	phylum	Shannon diversity	simulated_fungi	1.4965386070575506
MetaBinG2	phylum	Shannon equitability	simulated_fungi	0.6811040721526346
MetaBinG2	class	Shannon diversity	simulated_fungi	2.3351420169550283
MetaBinG2	class	Shannon equitability	simulated_fungi	0.8848394427624893
MetaBinG2	order	Shannon diversity	simulated_fungi	2.335982388735198
MetaBinG2	order	Shannon equitability	simulated_fungi	0.862606752188133
MetaBinG2	family	Shannon diversity	simulated_fungi	2.546438444063674
MetaBinG2	family	Shannon equitability	simulated_fungi	0.8810072396767288
MetaBinG2	genus	Shannon diversity	simulated_fungi	2.5465205375691453
MetaBinG2	genus	Shannon equitability	simulated_fungi	0.864857636917324
MetaBinG2	species	Shannon diversity	simulated_fungi	2.5465205375691453
MetaBinG2	species	Shannon equitability	simulated_fungi	0.864857636917324
MetaBinG2	superkingdom	F1 score	simulated_fungi	0.6666666666666666
MetaBinG2	superkingdom	False negatives	simulated_fungi	0.0
MetaBinG2	superkingdom	False positives	simulated_fungi	1.0
MetaBinG2	superkingdom	Jaccard index	simulated_fungi	0.5
MetaBinG2	superkingdom	Taxon counts	simulated_fungi	2.0
MetaBinG2	superkingdom	Purity	simulated_fungi	0.5
MetaBinG2	superkingdom	Completeness	simulated_fungi	1.0
MetaBinG2	superkingdom	True positives	simulated_fungi	1.0
MetaBinG2	phylum	F1 score	simulated_fungi	0.3636363636363636
MetaBinG2	phylum	False negatives	simulated_fungi	0.0
MetaBinG2	phylum	False positives	simulated_fungi	7.0
MetaBinG2	phylum	Jaccard index	simulated_fungi	0.2222222222222222
MetaBinG2	phylum	Taxon counts	simulated_fungi	9.0
MetaBinG2	phylum	Purity	simulated_fungi	0.2222222222222222
MetaBinG2	phylum	Completeness	simulated_fungi	1.0
MetaBinG2	phylum	True positives	simulated_fungi	2.0
MetaBinG2	class	F1 score	simulated_fungi	0.2857142857142857
MetaBinG2	class	False negatives	simulated_fungi	10.0
MetaBinG2	class	False positives	simulated_fungi	10.0
MetaBinG2	class	Jaccard index	simulated_fungi	0.16666666666666666
MetaBinG2	class	Taxon counts	simulated_fungi	14.0
MetaBinG2	class	Purity	simulated_fungi	0.2857142857142857
MetaBinG2	class	Completeness	simulated_fungi	0.2857142857142857
MetaBinG2	class	True positives	simulated_fungi	4.0
MetaBinG2	order	F1 score	simulated_fungi	0.2439024390243902
MetaBinG2	order	False negatives	simulated_fungi	21.0
MetaBinG2	order	False positives	simulated_fungi	10.0
MetaBinG2	order	Jaccard index	simulated_fungi	0.1388888888888889
MetaBinG2	order	Taxon counts	simulated_fungi	15.0
MetaBinG2	order	Purity	simulated_fungi	0.3333333333333333
MetaBinG2	order	Completeness	simulated_fungi	0.19230769230769232
MetaBinG2	order	True positives	simulated_fungi	5.0
MetaBinG2	family	F1 score	simulated_fungi	0.23728813559322035
MetaBinG2	family	False negatives	simulated_fungi	34.0
MetaBinG2	family	False positives	simulated_fungi	11.0
MetaBinG2	family	Jaccard index	simulated_fungi	0.1346153846153846
MetaBinG2	family	Taxon counts	simulated_fungi	18.0
MetaBinG2	family	Purity	simulated_fungi	0.3888888888888889
MetaBinG2	family	Completeness	simulated_fungi	0.17073170731707318
MetaBinG2	family	True positives	simulated_fungi	7.0
MetaBinG2	genus	F1 score	simulated_fungi	0.12987012987012989
MetaBinG2	genus	False negatives	simulated_fungi	53.0
MetaBinG2	genus	False positives	simulated_fungi	14.0
MetaBinG2	genus	Jaccard index	simulated_fungi	0.06944444444444445
MetaBinG2	genus	Taxon counts	simulated_fungi	19.0
MetaBinG2	genus	Purity	simulated_fungi	0.2631578947368421
MetaBinG2	genus	Completeness	simulated_fungi	0.08620689655172414
MetaBinG2	genus	True positives	simulated_fungi	5.0
MetaBinG2	species	F1 score	simulated_fungi	0.08695652173913043
MetaBinG2	species	False negatives	simulated_fungi	69.0
MetaBinG2	species	False positives	simulated_fungi	15.0
MetaBinG2	species	Jaccard index	simulated_fungi	0.045454545454545456
MetaBinG2	species	Taxon counts	simulated_fungi	19.0
MetaBinG2	species	Purity	simulated_fungi	0.21052631578947367
MetaBinG2	species	Completeness	simulated_fungi	0.0547945205479452
MetaBinG2	species	True positives	simulated_fungi	4.0
MetaBinG2	strain	False negatives	simulated_fungi	73.0
MetaBinG2	strain	False positives	simulated_fungi	0.0
MetaBinG2	strain	Jaccard index	simulated_fungi	0.0
MetaBinG2	strain	Taxon counts	simulated_fungi	0.0
MetaBinG2	strain	Purity	simulated_fungi	0.0
MetaBinG2	strain	Completeness	simulated_fungi	0.0
MetaBinG2	strain	True positives	simulated_fungi	0.0
MetaBinG2	superkingdom	L1 norm error	simulated_fungi	0.36810779999999993
MetaBinG2	phylum	L1 norm error	simulated_fungi	0.8966759999999999
MetaBinG2	class	L1 norm error	simulated_fungi	1.1075142999999996
MetaBinG2	order	L1 norm error	simulated_fungi	1.5155189000000002
MetaBinG2	family	L1 norm error	simulated_fungi	1.8065214
MetaBinG2	genus	L1 norm error	simulated_fungi	1.9648463000000005
MetaBinG2	species	L1 norm error	simulated_fungi	1.9879630999999998
MetaBinG2	na	Weighted UniFrac error	simulated_fungi	10.647148800000004
MetaBinG2	na	Unweighted UniFrac error	simulated_fungi	688.9999670000001
Diamond+Megan	superkingdom	Bray-Curtis distance	simulated_fungi	0.0
Diamond+Megan	phylum	Bray-Curtis distance	simulated_fungi	0.0031096000000000435
Diamond+Megan	class	Bray-Curtis distance	simulated_fungi	0.1600295980428734
Diamond+Megan	order	Bray-Curtis distance	simulated_fungi	0.26700869634173846
Diamond+Megan	family	Bray-Curtis distance	simulated_fungi	0.29059227094077283
Diamond+Megan	genus	Bray-Curtis distance	simulated_fungi	0.192351369178357
Diamond+Megan	species	Bray-Curtis distance	simulated_fungi	0.2285299857350072
Diamond+Megan	strain	Bray-Curtis distance	simulated_fungi	0.24860506354620232
Diamond+Megan	superkingdom	Shannon diversity	simulated_fungi	0.0
Diamond+Megan	superkingdom	Shannon equitability	simulated_fungi	0.0
Diamond+Megan	phylum	Shannon diversity	simulated_fungi	0.13609732183246526
Diamond+Megan	phylum	Shannon equitability	simulated_fungi	0.1963469312859669
Diamond+Megan	class	Shannon diversity	simulated_fungi	0.849551703838304
Diamond+Megan	class	Shannon equitability	simulated_fungi	0.354290578690231
Diamond+Megan	order	Shannon diversity	simulated_fungi	0.8407897331913552
Diamond+Megan	order	Shannon equitability	simulated_fungi	0.2908932841923929
Diamond+Megan	family	Shannon diversity	simulated_fungi	1.1135410491384732
Diamond+Megan	family	Shannon equitability	simulated_fungi	0.3459409774479474
Diamond+Megan	genus	Shannon diversity	simulated_fungi	1.5098828325395663
Diamond+Megan	genus	Shannon equitability	simulated_fungi	0.4213408268438147
Diamond+Megan	species	Shannon diversity	simulated_fungi	1.2807156824940849
Diamond+Megan	species	Shannon equitability	simulated_fungi	0.35739051599539096
Diamond+Megan	strain	Shannon diversity	simulated_fungi	1.5189081145437597
Diamond+Megan	strain	Shannon equitability	simulated_fungi	0.3844126616135633
Diamond+Megan	superkingdom	F1 score	simulated_fungi	1.0
Diamond+Megan	superkingdom	False negatives	simulated_fungi	0.0
Diamond+Megan	superkingdom	False positives	simulated_fungi	0.0
Diamond+Megan	superkingdom	Jaccard index	simulated_fungi	1.0
Diamond+Megan	superkingdom	Taxon counts	simulated_fungi	1.0
Diamond+Megan	superkingdom	Purity	simulated_fungi	1.0
Diamond+Megan	superkingdom	Completeness	simulated_fungi	1.0
Diamond+Megan	superkingdom	True positives	simulated_fungi	1.0
Diamond+Megan	phylum	F1 score	simulated_fungi	1.0
Diamond+Megan	phylum	False negatives	simulated_fungi	0.0
Diamond+Megan	phylum	False positives	simulated_fungi	0.0
Diamond+Megan	phylum	Jaccard index	simulated_fungi	1.0
Diamond+Megan	phylum	Taxon counts	simulated_fungi	2.0
Diamond+Megan	phylum	Purity	simulated_fungi	1.0
Diamond+Megan	phylum	Completeness	simulated_fungi	1.0
Diamond+Megan	phylum	True positives	simulated_fungi	2.0
Diamond+Megan	class	F1 score	simulated_fungi	0.88
Diamond+Megan	class	False negatives	simulated_fungi	3.0
Diamond+Megan	class	False positives	simulated_fungi	0.0
Diamond+Megan	class	Jaccard index	simulated_fungi	0.7857142857142857
Diamond+Megan	class	Taxon counts	simulated_fungi	11.0
Diamond+Megan	class	Purity	simulated_fungi	1.0
Diamond+Megan	class	Completeness	simulated_fungi	0.7857142857142857
Diamond+Megan	class	True positives	simulated_fungi	11.0
Diamond+Megan	order	F1 score	simulated_fungi	0.8181818181818181
Diamond+Megan	order	False negatives	simulated_fungi	8.0
Diamond+Megan	order	False positives	simulated_fungi	0.0
Diamond+Megan	order	Jaccard index	simulated_fungi	0.6923076923076923
Diamond+Megan	order	Taxon counts	simulated_fungi	18.0
Diamond+Megan	order	Purity	simulated_fungi	1.0
Diamond+Megan	order	Completeness	simulated_fungi	0.6923076923076923
Diamond+Megan	order	True positives	simulated_fungi	18.0
Diamond+Megan	family	F1 score	simulated_fungi	0.7575757575757575
Diamond+Megan	family	False negatives	simulated_fungi	16.0
Diamond+Megan	family	False positives	simulated_fungi	0.0
Diamond+Megan	family	Jaccard index	simulated_fungi	0.6097560975609756
Diamond+Megan	family	Taxon counts	simulated_fungi	25.0
Diamond+Megan	family	Purity	simulated_fungi	1.0
Diamond+Megan	family	Completeness	simulated_fungi	0.6097560975609756
Diamond+Megan	family	True positives	simulated_fungi	25.0
Diamond+Megan	genus	F1 score	simulated_fungi	0.7446808510638298
Diamond+Megan	genus	False negatives	simulated_fungi	23.0
Diamond+Megan	genus	False positives	simulated_fungi	1.0
Diamond+Megan	genus	Jaccard index	simulated_fungi	0.5932203389830508
Diamond+Megan	genus	Taxon counts	simulated_fungi	36.0
Diamond+Megan	genus	Purity	simulated_fungi	0.9722222222222222
Diamond+Megan	genus	Completeness	simulated_fungi	0.603448275862069
Diamond+Megan	genus	True positives	simulated_fungi	35.0
Diamond+Megan	species	F1 score	simulated_fungi	0.5871559633027523
Diamond+Megan	species	False negatives	simulated_fungi	41.0
Diamond+Megan	species	False positives	simulated_fungi	4.0
Diamond+Megan	species	Jaccard index	simulated_fungi	0.4155844155844156
Diamond+Megan	species	Taxon counts	simulated_fungi	36.0
