tool	rank	metric	sample	value
MetaBinG2	strain	L1 norm error	mock_viruses	0.6633981999999999
MetaBinG2	na	Weighted UniFrac error	mock_viruses	7.66149851970413
MetaBinG2	na	Unweighted UniFrac error	mock_viruses	209.99999923856663
MetaPhlAn3	superkingdom	Bray-Curtis distance	mock_viruses	0.39379460896986135
MetaPhlAn3	phylum	Bray-Curtis distance	mock_viruses	1.0
MetaPhlAn3	class	Bray-Curtis distance	mock_viruses	1.0
MetaPhlAn3	order	Bray-Curtis distance	mock_viruses	1.0
MetaPhlAn3	family	Bray-Curtis distance	mock_viruses	0.711231330213725
MetaPhlAn3	genus	Bray-Curtis distance	mock_viruses	0.9995406846843987
MetaPhlAn3	species	Bray-Curtis distance	mock_viruses	0.9024125532448543
MetaPhlAn3	superkingdom	Shannon diversity	mock_viruses	0.37554654957893047
MetaPhlAn3	superkingdom	Shannon equitability	mock_viruses	0.5417991447004842
MetaPhlAn3	phylum	Shannon diversity	mock_viruses	-0.3374289126796414
MetaPhlAn3	phylum	Shannon equitability	mock_viruses	-0.30714103251905145
MetaPhlAn3	class	Shannon diversity	mock_viruses	0.013849927124697854
MetaPhlAn3	class	Shannon equitability	mock_viruses	0.019981221179475137
MetaPhlAn3	order	Shannon diversity	mock_viruses	0.013849927124697854
MetaPhlAn3	order	Shannon equitability	mock_viruses	0.019981221179475137
MetaPhlAn3	family	Shannon diversity	mock_viruses	0.4527939246800539
MetaPhlAn3	family	Shannon equitability	mock_viruses	0.3266217748402823
MetaPhlAn3	genus	Shannon diversity	mock_viruses	0.015293267532235384
MetaPhlAn3	genus	Shannon equitability	mock_viruses	0.013920532011139256
MetaPhlAn3	species	Shannon diversity	mock_viruses	0.9629428470549781
MetaPhlAn3	species	Shannon equitability	mock_viruses	0.4015783583122098
MetaPhlAn3	superkingdom	F1 score	mock_viruses	0.6666666666666666
MetaPhlAn3	superkingdom	False negatives	mock_viruses	0.0
MetaPhlAn3	superkingdom	False positives	mock_viruses	1.0
MetaPhlAn3	superkingdom	Jaccard index	mock_viruses	0.5
MetaPhlAn3	superkingdom	Taxon counts	mock_viruses	2.0
MetaPhlAn3	superkingdom	Purity	mock_viruses	0.5
MetaPhlAn3	superkingdom	Completeness	mock_viruses	1.0
MetaPhlAn3	superkingdom	True positives	mock_viruses	1.0
MetaPhlAn3	phylum	False negatives	mock_viruses	2.0
MetaPhlAn3	phylum	False positives	mock_viruses	3.0
MetaPhlAn3	phylum	Jaccard index	mock_viruses	0.0
MetaPhlAn3	phylum	Taxon counts	mock_viruses	3.0
MetaPhlAn3	phylum	Purity	mock_viruses	0.0
MetaPhlAn3	phylum	Completeness	mock_viruses	0.0
MetaPhlAn3	phylum	True positives	mock_viruses	0.0
MetaPhlAn3	class	False negatives	mock_viruses	2.0
MetaPhlAn3	class	False positives	mock_viruses	2.0
MetaPhlAn3	class	Jaccard index	mock_viruses	0.0
MetaPhlAn3	class	Taxon counts	mock_viruses	2.0
MetaPhlAn3	class	Purity	mock_viruses	0.0
MetaPhlAn3	class	Completeness	mock_viruses	0.0
MetaPhlAn3	class	True positives	mock_viruses	0.0
MetaPhlAn3	order	False negatives	mock_viruses	2.0
MetaPhlAn3	order	False positives	mock_viruses	2.0
MetaPhlAn3	order	Jaccard index	mock_viruses	0.0
MetaPhlAn3	order	Taxon counts	mock_viruses	2.0
MetaPhlAn3	order	Purity	mock_viruses	0.0
MetaPhlAn3	order	Completeness	mock_viruses	0.0
MetaPhlAn3	order	True positives	mock_viruses	0.0
MetaPhlAn3	family	F1 score	mock_viruses	0.5
MetaPhlAn3	family	False negatives	mock_viruses	2.0
MetaPhlAn3	family	False positives	mock_viruses	2.0
MetaPhlAn3	family	Jaccard index	mock_viruses	0.3333333333333333
MetaPhlAn3	family	Taxon counts	mock_viruses	4.0
MetaPhlAn3	family	Purity	mock_viruses	0.5
MetaPhlAn3	family	Completeness	mock_viruses	0.5
MetaPhlAn3	family	True positives	mock_viruses	2.0
MetaPhlAn3	genus	F1 score	mock_viruses	0.28571428571428575
MetaPhlAn3	genus	False negatives	mock_viruses	3.0
MetaPhlAn3	genus	False positives	mock_viruses	2.0
MetaPhlAn3	genus	Jaccard index	mock_viruses	0.16666666666666666
MetaPhlAn3	genus	Taxon counts	mock_viruses	3.0
MetaPhlAn3	genus	Purity	mock_viruses	0.3333333333333333
MetaPhlAn3	genus	Completeness	mock_viruses	0.25
MetaPhlAn3	genus	True positives	mock_viruses	1.0
MetaPhlAn3	species	F1 score	mock_viruses	0.17391304347826086
MetaPhlAn3	species	False negatives	mock_viruses	10.0
MetaPhlAn3	species	False positives	mock_viruses	9.0
MetaPhlAn3	species	Jaccard index	mock_viruses	0.09523809523809523
MetaPhlAn3	species	Taxon counts	mock_viruses	11.0
MetaPhlAn3	species	Purity	mock_viruses	0.18181818181818182
MetaPhlAn3	species	Completeness	mock_viruses	0.16666666666666666
MetaPhlAn3	species	True positives	mock_viruses	2.0
MetaPhlAn3	strain	False negatives	mock_viruses	3.0
MetaPhlAn3	strain	False positives	mock_viruses	0.0
MetaPhlAn3	strain	Jaccard index	mock_viruses	0.0
MetaPhlAn3	strain	Taxon counts	mock_viruses	0.0
MetaPhlAn3	strain	Purity	mock_viruses	0.0
MetaPhlAn3	strain	Completeness	mock_viruses	0.0
MetaPhlAn3	strain	True positives	mock_viruses	0.0
MetaPhlAn3	superkingdom	L1 norm error	mock_viruses	0.5665560812723612
MetaPhlAn3	phylum	L1 norm error	mock_viruses	2.310697334393019
MetaPhlAn3	class	L1 norm error	mock_viruses	1.002632836724466
MetaPhlAn3	order	L1 norm error	mock_viruses	1.002632836724466
MetaPhlAn3	family	L1 norm error	mock_viruses	0.8483256389430504
MetaPhlAn3	genus	L1 norm error	mock_viruses	0.7216670242057455
MetaPhlAn3	species	L1 norm error	mock_viruses	1.29830963600753
MetaPhlAn3	na	Weighted UniFrac error	mock_viruses	12.486818647740904
MetaPhlAn3	na	Unweighted UniFrac error	mock_viruses	87.9843393
Diamond+Megan	superkingdom	Bray-Curtis distance	mock_viruses	0.36622645470905824
Diamond+Megan	phylum	Bray-Curtis distance	mock_viruses	0.5854022195560888
Diamond+Megan	class	Bray-Curtis distance	mock_viruses	0.5762310537892421
Diamond+Megan	order	Bray-Curtis distance	mock_viruses	0.5371461707658469
Diamond+Megan	family	Bray-Curtis distance	mock_viruses	0.560868126374725
Diamond+Megan	genus	Bray-Curtis distance	mock_viruses	0.7210367365106267
Diamond+Megan	species	Bray-Curtis distance	mock_viruses	0.8996054507633007
Diamond+Megan	strain	Bray-Curtis distance	mock_viruses	0.9070392209449265
Diamond+Megan	superkingdom	Shannon diversity	mock_viruses	0.6617303964834296
