accession_id	genome_size	tax_id	tax_name	species	genus	family	order	class	phylum	kingdom	superkingdom
NC_001792.2	1758	133704	Porcine circovirus 1		Circovirus	Circoviridae	Cirlivirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_002232.1	7565	122291	Kappapapillomavirus 1		Kappapapillomavirus	Papillomaviridae	Zurhausenvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_001418.1	5833	10872	Pseudomonas phage Pf3	Pseudomonas virus Pf3	Tertilicivirus	Inoviridae	Tubulavirales	Faserviricetes	Hofneiviricota	Loebvirae	Viruses
NC_001447.1	11965	46014	Acholeplasma virus L2		Plasmavirus	Plasmaviridae					Viruses
NC_001484.1	3311	10406	Ground squirrel hepatitis virus		Orthohepadnavirus	Hepadnaviridae	Blubervirales	Revtraviricetes	Artverviricota	Pararnavirae	Viruses
NC_001538.1	5153	10630	BK virus strain GS	Human polyomavirus 1	Betapolyomavirus	Polyomaviridae	Sepolyvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_001697.1	32355	1289570	Haemophilus phage HP1c1	Haemophilus virus HP1	Hpunavirus	Myoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_002046.1	2642	51034	Sida golden mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_002047.1	2585	51034	Sida golden mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_001956.1	8651	83201	Vibrio phage fs2	Vibrio virus fs2	Saetivirus	Inoviridae	Tubulavirales	Faserviricetes	Hofneiviricota	Loebvirae	Viruses
NC_002331.1	178733	51677	Xestia c-nigrum granulovirus		Betabaculovirus	Baculoviridae					Viruses
NC_001835.1	28451	31532	Lactococcus virus sk1		Skunavirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_002543.1	3080	46448	Horseradish curly top virus		Curtovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_002593.1	100999	98383	Plutella xylostella granulovirus		Betabaculovirus	Baculoviridae					Viruses
NC_002669.1	14957	151538	Lactococcus phage bIL310			Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_002747.1	37667	35345	Lactococcus phage TP901-1			Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_002981.1	2748	222079	Ageratum yellow vein Sri Lanka virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003038.1	212482	132417	Gryllus bimaculatus iridovirus	Invertebrate iridescent virus 6	Iridovirus	Iridoviridae	Pimascovirales	Megaviricetes	Nucleocytoviricota	Bamfordvirae	Viruses
NC_003084.1	108252	130556	Culex nigripalpus nucleopolyhedrovirus		Deltabaculovirus	Baculoviridae					Viruses
NC_003214.2	40900	654908	Sulfolobus islandicus filamentous virus (isolate Hveragerdi)	Sulfolobus islandicus filamentous virus	Betalipothrixvirus	Lipothrixviridae	Ligamenvirales				Viruses
NC_002515.1	11660	35238	Mycoplasma virus P1			Podoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_003220.1	5699	159252	Planaria asexual strain-specific virus-like element type 1								Viruses
NC_003219.1	1911	159252	Planaria asexual strain-specific virus-like element type 1								Viruses
NC_003157.5	43106	173707	Temperate phage phiNIH1.1			Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_003357.1	2737	85753	Soybean crinkle leaf virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003382.1	7559	174178	Citrus yellow mosaic virus		Badnavirus	Caulimoviridae	Ortervirales	Revtraviricetes	Artverviricota	Pararnavirae	Viruses
NC_009333.1	137969	37296	Human gammaherpesvirus 8		Rhadinovirus	Herpesviridae	Herpesvirales	Herviviricetes	Peploviricota		Viruses
NC_003460.1	5804	189836	Propionibacterium phage B5	Propionibacterium virus B5	Bifilivirus	Inoviridae	Tubulavirales	Faserviricetes	Hofneiviricota	Loebvirae	Viruses
NC_003556.1	2766	186637	Eupatorium yellow vein mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003664.1	2622	172391	Tomato chlorotic mottle virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003665.1	2573	172391	Tomato chlorotic mottle virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003803.1	2800	63723	South African cassava mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003804.1	2760	63723	South African cassava mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003830.1	2634	47838	Chino del tomate virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003831.1	2579	47838	Chino del tomate virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003866.1	2583	51336	Cabbage leaf curl virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003887.1	2513	51336	Cabbage leaf curl virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003896.1	2766	28350	Tomato leaf curl virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_001338.1	15465	244589	Sulfolobus spindle-shaped virus 1		Alphafusellovirus	Fuselloviridae					Viruses
NC_001510.1	5149	10794	Minute virus of mice	Rodent protoparvovirus 1	Protoparvovirus	Parvoviridae	Piccovirales	Quintoviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_001623.1	133894	46015	Autographa californica nucleopolyhedrovirus	Autographa californica multiple nucleopolyhedrovirus	Alphabaculovirus	Baculoviridae					Viruses
NC_001693.1	7313	40540	Human papillomavirus type 60	Gammapapillomavirus 4	Gammapapillomavirus	Papillomaviridae	Zurhausenvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_001270.2	6825	93224	Spiroplasma phage SVTS2	Spiroplasma virus SVTS2	Suturavirus	Plectroviridae	Tubulavirales	Faserviricetes	Hofneiviricota	Loebvirae	Viruses
NC_001931.1	2615	10838	Bean dwarf mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_001930.1	2576	10838	Bean dwarf mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_001993.1	236120	83191	Melanoplus sanguinipes entomopoxvirus		Deltaentomopoxvirus	Poxviridae	Chitovirales	Pokkesviricetes	Nucleocytoviricota	Bamfordvirae	Viruses
NC_000882.1	2744	83839	Pepper leaf curl virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_002188.1	288539	10261	Fowlpox virus		Avipoxvirus	Poxviridae	Chitovirales	Pokkesviricetes	Nucleocytoviricota	Bamfordvirae	Viruses
NC_001648.1	8159	38062	Cassava vein mosaic virus		Cavemovirus	Caulimoviridae	Ortervirales	Revtraviricetes	Artverviricota	Pararnavirae	Viruses
NC_001401.2	4679	10804	Adeno-associated virus - 2	Adeno-associated dependoparvovirus A	Dependoparvovirus	Parvoviridae	Piccovirales	Quintoviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_001934.1	2593	10827	Potato yellow mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_001935.1	2547	10827	Potato yellow mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_001478.1	2701	10837	Digitaria streak virus		Mastrevirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_001523.1	8374	10564	Deltapapillomavirus 2		Deltapapillomavirus	Papillomaviridae	Zurhausenvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_001828.1	2597	223358	Tomato mottle Taino virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_001917.1	2562	223358	Tomato mottle Taino virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_001909.1	31754	63118	Lactococcus virus bIL170		Skunavirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_000936.1	5454	97344	Periplaneta fuliginosa densovirus	Blattodean pefuambidensovirus 1	Pefuambidensovirus	Parvoviridae	Piccovirales	Quintoviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_002510.1	2764	222459	Cotton leaf curl Gezira virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_002531.1	130608	33705	Alcelaphine herpesvirus 1 strain WC11	Alcelaphine gammaherpesvirus 1	Macavirus	Herpesviridae	Herpesvirales	Herviviricetes	Peploviricota		Viruses
NC_002577.1	164270	35250	Gallid alphaherpesvirus 3		Mardivirus	Herpesviridae	Herpesvirales	Herviviricetes	Peploviricota		Viruses
NC_002643.1	4594	145579	Bdellovibrio phage phiMH2K	Bdellovibrio virus MH2K	Bdellomicrovirus	Microviridae	Petitvirales	Malgrandaviricetes	Phixviricota	Sangervirae	Viruses
NC_002666.1	35538	151535	Lactococcus phage bIL285			Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_002730.1	38297	155148	Enterobacteria phage HK620	Escherichia virus HK620	Lederbergvirus	Podoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_002817.1	2767	223337	Tobacco leaf curl Zimbabwe virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003031.1	7687	362398	Sugarcane bacilliform IM virus		Badnavirus	Caulimoviridae	Ortervirales	Revtraviricetes	Artverviricota	Pararnavirae	Viruses
NC_003083.1	118584	70600	Epiphyas postvittana nucleopolyhedrovirus		Alphabaculovirus	Baculoviridae					Viruses
NC_002703.1	38347	35241	Lactococcus phage Tuc2009			Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_002486.1	45636	129009	Staphylococcus prophage phiPV83		Biseptimavirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_002670.1	14510	151534	Lactococcus phage bIL311			Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_003313.1	33106	70734	Vibrio virus K139		Longwoodvirus	Myoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_003380.1	220	195056	Rice yellow mottle virus satellite								Viruses
NC_003391.1	205719	28873	Camelpox virus		Orthopoxvirus	Poxviridae	Chitovirales	Pokkesviricetes	Nucleocytoviricota	Bamfordvirae	Viruses
NC_003444.1	37074	55884	Enterobacteria phage SfV			Myoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_003524.1	33507	190478	Clostridium phage phi3626			Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_003663.2	224499	10243	Cowpox virus		Orthopoxvirus	Poxviridae	Chitovirales	Pokkesviricetes	Nucleocytoviricota	Bamfordvirae	Viruses
NC_003793.1	7768	185959	Spiroplasma phage C74	Spiroplasma virus C74	Vespertiliovirus	Plectroviridae	Tubulavirales	Faserviricetes	Hofneiviricota	Loebvirae	Viruses
NC_008058.1	2614	223342	Tomato golden mottle virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_008057.1	2558	223342	Tomato golden mottle virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003865.1	2663	1051966	Squash yellow mild mottle virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003860.1	2662	1051966	Squash yellow mild mottle virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003891.1	2749	220608	Tomato leaf curl Bangalore virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_003906.1	366	196095	Velvet tobacco mottle virus Satellite RNA								Viruses
NC_002048.1	2584	223307	Potato yellow mosaic Panama virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_002049.1	2542	223307	Potato yellow mosaic Panama virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_001493.2	134226	766178	Ictalurid herpesvirus 1 (strain Auburn)	Ictalurid herpesvirus 1	Ictalurivirus	Alloherpesviridae	Herpesvirales	Herviviricetes	Peploviricota		Viruses
NC_001605.1	7687	654915	Mastomys natalensis papillomavirus (isolate African multimammate rat)	Iotapapillomavirus 1	Iotapapillomavirus	Papillomaviridae	Zurhausenvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_001690.1	7100	40538	Human papillomavirus type 48	Gammapapillomavirus 2	Gammapapillomavirus	Papillomaviridae	Zurhausenvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_001457.1	7353	40538	Human papillomavirus type 48	Gammapapillomavirus 2	Gammapapillomavirus	Papillomaviridae	Zurhausenvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_001839.2	7206	492094	Petunia vein clearing virus isolate Shepherd	Petunia vein clearing virus	Petuvirus	Caulimoviridae	Ortervirales	Revtraviricetes	Artverviricota	Pararnavirae	Viruses
NC_001899.1	5941	72003	Diatraea saccharalis densovirus		Ambidensovirus	Parvoviridae	Piccovirales	Quintoviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_001987.1	108409	85618	Ateline gammaherpesvirus 3		Rhadinovirus	Herpesviridae	Herpesvirales	Herviviricetes	Peploviricota		Viruses
NC_000871.1	37370	72638	Streptococcus virus Sfi19		Moineauvirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_002185.1	35466	112023	Streptococcus virus 7201		Moineauvirus	Siphoviridae	Caudovirales	Caudoviricetes	Uroviricota		Viruses
NC_001718.1	5075	10796	Porcine parvovirus	Ungulate protoparvovirus 1	Protoparvovirus	Parvoviridae	Piccovirales	Quintoviricetes	Cossaviricota	Shotokuvirae	Viruses
NC_001359.1	2631	223303	Pepper huasteco yellow vein virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_001369.1	2589	223303	Pepper huasteco yellow vein virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_001741.1	4877	2003327	Chlamydia virus Chp1		Chlamydiamicrovirus	Microviridae	Petitvirales	Malgrandaviricetes	Phixviricota	Sangervirae	Viruses
NC_001466.1	2750	10820	Chloris striate mosaic virus		Mastrevirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_001507.1	2588	10831	Tomato golden mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_001508.1	2508	10831	Tomato golden mosaic virus		Begomovirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
NC_001647.1	2705	10826	Panicum streak virus		Mastrevirus	Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Viruses
